id,imdb_id,name_eng,rating,rating_date,release_year,link
361,,Suspiria,7,2018-11-04,2018,https://www.kinopoisk.ru/film/423063/
362,,Acid,6,2018-11-10,2018,https://www.kinopoisk.ru/film/1042556/
363,,Bohemian Rhapsody,3,2018-11-18,2018,https://www.kinopoisk.ru/film/568289/
364,,Johnny English Strikes Again,1,2019-01-02,2018,https://www.kinopoisk.ru/film/1045478/
365,,A Dog's Purpose,6,2019-01-03,2017,https://www.kinopoisk.ru/film/571896/
366,,Bumblebee,2,2019-01-08,2018,https://www.kinopoisk.ru/film/952241/
367,,Spider-Man: Into the Spider-Verse,7,2019-01-08,2018,https://www.kinopoisk.ru/film/920265/
368,,Green Book,5,2019-02-01,2018,https://www.kinopoisk.ru/film/1108577/
369,,The Favourite,8,2019-02-05,2018,https://www.kinopoisk.ru/film/938644/
370,,Vertigo,8,2019-04-15,1958,https://www.kinopoisk.ru/film/352/
371,,Ayka,7,2019-04-20,2018,https://www.kinopoisk.ru/film/665107/
372,,Sonnenallee,7,2019-05-28,1999,https://www.kinopoisk.ru/film/31239/
373,,Victoria,8,2019-06-03,2015,https://www.kinopoisk.ru/film/848574/
374,,Rocketman,6,2019-06-08,2019,https://www.kinopoisk.ru/film/627299/
375,,The Dead Don't Die,6,2019-06-11,2019,https://www.kinopoisk.ru/film/1171953/
376,,Spider-Man: Homecoming,4,2019-07-06,2017,https://www.kinopoisk.ru/film/690593/
377,,Dancer in the Dark,9,2019-07-20,2000,https://www.kinopoisk.ru/film/646/
378,,Once Upon a Time in... Hollywood,8,2019-08-18,2019,https://www.kinopoisk.ru/film/1047883/
379,,Vice,8,2019-09-01,2018,https://www.kinopoisk.ru/film/1044045/
380,,Fast &amp; Furious Presents: Hobbs &amp; Shaw,6,2019-09-04,2019,https://www.kinopoisk.ru/film/1044450/
381,,Leto,8,2019-10-26,2018,https://www.kinopoisk.ru/film/1009413/
382,,Joker,6,2019-11-01,2019,https://www.kinopoisk.ru/film/1048334/
383,,The Aviator,7,2019-11-18,2004,https://www.kinopoisk.ru/film/6374/
384,,Good Time,7,2019-11-26,2017,https://www.kinopoisk.ru/film/928796/
385,,Gisaengchung,7,2019-12-04,2019,https://www.kinopoisk.ru/film/1043758/
386,,The Report,7,2019-12-21,2019,https://www.kinopoisk.ru/film/1133612/
387,,Star Wars: Episode IX - The Rise of Skywalker,3,2019-12-22,2019,https://www.kinopoisk.ru/film/718222/
388,,We Need to Talk About Kevin,8,2020-01-18,2010,https://www.kinopoisk.ru/film/465543/
389,,Midsommar,7,2020-05-09,2019,https://www.kinopoisk.ru/film/1178137/
390,,The Godfather,9,2020-09-03,1972,https://www.kinopoisk.ru/film/325/
391,,The Godfather: Part II,8,2020-09-10,1974,https://www.kinopoisk.ru/film/327/
392,,Fleabag,9,2020-11-03,2019,https://www.kinopoisk.ru/series/991739/
393,,The Imitation Game,4,2020-11-03,2014,https://www.kinopoisk.ru/film/635772/
394,,Incredibles 2,5,2020-11-08,2018,https://www.kinopoisk.ru/film/839650/
395,,Enron: The Smartest Guys in the Room,7,2020-11-19,2005,https://www.kinopoisk.ru/film/93902/
396,,Bad Times at the El Royale,6,2020-11-19,2018,https://www.kinopoisk.ru/film/1047143/
397,,The World's End,8,2020-12-28,2013,https://www.kinopoisk.ru/film/410299/
398,,Hot Fuzz,7,2020-12-28,2007,https://www.kinopoisk.ru/film/93377/
399,,Son of a Rich,6,2021-01-18,2019,https://www.kinopoisk.ru/film/1183582/
400,,The Count of Monte Cristo,7,2021-02-12,2002,https://www.kinopoisk.ru/film/643/
401,,Soul,7,2021-03-03,2020,https://www.kinopoisk.ru/film/775273/
402,,Borat: Gift of Pornographic Monkey to Vice Premiere Mikhael Pence to Make Benefit Recently Diminished Nation of Kazakhstan,5,2021-03-03,2020,https://www.kinopoisk.ru/film/1421546/
403,,I.T.,6,2021-04-22,2016,https://www.kinopoisk.ru/film/738189/
404,,Ender's Game,6,2021-05-28,2013,https://www.kinopoisk.ru/film/568687/
405,,Palm Springs,6,2021-06-02,2020,https://www.kinopoisk.ru/film/1245524/
406,,Persian Lessons,7,2021-06-06,2020,https://www.kinopoisk.ru/film/1209777/
407,,Time Trap,3,2021-06-10,2017,https://www.kinopoisk.ru/film/920040/
408,,Censor,7,2021-06-17,2021,https://www.kinopoisk.ru/film/1309847/
409,,Ninjababy,5,2021-06-17,2021,https://www.kinopoisk.ru/film/4439362/
410,,Legally Blonde,6,2021-06-27,2001,https://www.kinopoisk.ru/film/735/
411,,Cruel Intentions,7,2021-06-27,1999,https://www.kinopoisk.ru/film/12192/
412,,Tucker and Dale vs Evil,7,2021-07-06,2010,https://www.kinopoisk.ru/film/485261/
413,,Margin Call,7,2021-07-09,2011,https://www.kinopoisk.ru/film/503671/
414,,Mi obra maestra,7,2021-07-18,2018,https://www.kinopoisk.ru/film/1100861/
415,,F9,5,2021-07-19,2021,https://www.kinopoisk.ru/film/964318/
416,,Rosemary's Baby,8,2021-07-25,1968,https://www.kinopoisk.ru/film/8425/
417,,Judas and the Black Messiah,6,2021-07-25,2020,https://www.kinopoisk.ru/film/1239696/
418,,Climax,9,2021-07-25,2018,https://www.kinopoisk.ru/film/1118214/
419,,De surprise,6,2021-07-25,2015,https://www.kinopoisk.ru/film/820220/
420,,The Suicide Squad,6,2021-08-06,2021,https://www.kinopoisk.ru/film/1008477/
421,,Black Widow,4,2021-08-19,2021,https://www.kinopoisk.ru/film/823956/
422,,Avengers: Infinity War,6,2021-08-19,2018,https://www.kinopoisk.ru/film/843649/
423,,Avengers: Endgame,7,2021-08-19,2019,https://www.kinopoisk.ru/film/843650/
424,,Iron Man,8,2021-08-25,2008,https://www.kinopoisk.ru/film/61237/
425,,Free Guy,6,2021-09-03,2021,https://www.kinopoisk.ru/film/1199100/
426,,Career Opportunities,4,2021-10-05,1991,https://www.kinopoisk.ru/film/13078/
427,,Casino Royale,8,2021-10-21,2006,https://www.kinopoisk.ru/film/49844/
428,,No Time to Die,6,2021-10-27,2020,https://www.kinopoisk.ru/film/706019/
429,,Donnie Darko,8,2021-11-06,2001,https://www.kinopoisk.ru/film/410/
430,,Wall Street,8,2021-11-14,1987,https://www.kinopoisk.ru/film/2742/
431,,Petrov's Flu,7,2021-11-20,2020,https://www.kinopoisk.ru/film/1263423/
432,,Red Notice,4,2021-11-21,2021,https://www.kinopoisk.ru/film/1115099/
