id,imdb_id,name_eng,rating,rating_date,release_year,link
62,,Dark Planet,5,2010-04-18,2008,https://www.kinopoisk.ru/film/257774/
63,,Dark Planet: Rebellion,6,2010-04-18,2009,https://www.kinopoisk.ru/film/374715/
64,,Iron Man 2,9,2010-04-29,2010,https://www.kinopoisk.ru/film/411924/
65,,Shrek Forever After,8,2010-05-20,2010,https://www.kinopoisk.ru/film/271806/
66,,Shrek the Third,8,2010-05-20,2007,https://www.kinopoisk.ru/film/84020/
67,,0:10,10,2010-05-25,2009,""
68,,Prince of Persia: The Sands of Time,8,2010-05-28,2010,https://www.kinopoisk.ru/film/195394/
69,,Alice in Wonderland,5,2010-06-02,2010,https://www.kinopoisk.ru/film/405609/
70,,Old Dogs,7,2010-06-02,2009,https://www.kinopoisk.ru/film/281006/
71,,Toy Story 3,9,2010-06-19,2010,https://www.kinopoisk.ru/film/258328/
72,,Happy Feet,4,2010-06-25,2006,https://www.kinopoisk.ru/film/61359/
73,,Surf's Up,9,2010-06-26,2007,https://www.kinopoisk.ru/film/84485/
74,,Inception,10,2010-07-29,2010,https://www.kinopoisk.ru/film/447301/
75,,The Expendables,8,2010-08-11,2010,https://www.kinopoisk.ru/film/432550/
76,,Inglourious Basterds,10,2010-08-15,2009,https://www.kinopoisk.ru/film/9691/
77,,Machete,9,2010-09-04,2010,https://www.kinopoisk.ru/film/467553/
78,,The American,5,2010-09-05,2010,https://www.kinopoisk.ru/film/485083/
79,,The Edge,5,2010-09-24,2010,https://www.kinopoisk.ru/film/460432/
80,,Buried,10,2010-10-17,2010,https://www.kinopoisk.ru/film/470656/
81,,The Town,6,2010-10-22,2010,https://www.kinopoisk.ru/film/462732/
82,,The Social Network,7,2010-11-01,2010,https://www.kinopoisk.ru/film/427198/
83,,Fortress of War,9,2010-11-06,2010,https://www.kinopoisk.ru/film/436263/
84,,Tron,8,2010-12-28,2010,https://www.kinopoisk.ru/film/399959/
85,,The Duchess,7,2010-12-29,2008,https://www.kinopoisk.ru/film/393872/
86,,Never Back Down,9,2011-01-23,2008,https://www.kinopoisk.ru/film/311268/
87,,Super 8,9,2011-06-16,2011,https://www.kinopoisk.ru/film/517433/
88,,Chatroom,7,2011-06-17,2010,https://www.kinopoisk.ru/film/433210/
89,,Green Lantern,5,2011-06-22,2011,https://www.kinopoisk.ru/film/406294/
90,,Megamind,10,2011-06-26,2010,https://www.kinopoisk.ru/film/405608/
91,,Transformers: Dark of the Moon,7,2011-07-14,2011,https://www.kinopoisk.ru/film/452899/
92,,The Joneses,9,2011-07-14,2010,https://www.kinopoisk.ru/film/424579/
93,,G-Force,3,2011-07-29,2009,https://www.kinopoisk.ru/film/88202/
94,,Rio,9,2011-07-29,2011,https://www.kinopoisk.ru/film/465674/
95,,Requiem for a Dream,9,2011-10-09,2000,https://www.kinopoisk.ru/film/367/
96,,Real Steel,8,2011-10-09,2011,https://www.kinopoisk.ru/film/88198/
97,,Johnny English Reborn,7,2011-10-09,2011,https://www.kinopoisk.ru/film/507676/
98,,30 Minutes or Less,8,2011-10-09,2011,https://www.kinopoisk.ru/film/506133/
99,,The Three Musketeers,5,2011-10-19,2011,https://www.kinopoisk.ru/film/474752/
100,,What Else Men Talk About,8,2012-01-02,2011,https://www.kinopoisk.ru/film/502733/
101,,Enemy at the Gates,9,2012-02-26,2001,https://www.kinopoisk.ru/film/659/
102,,The Hunger Games,8,2012-03-24,2012,https://www.kinopoisk.ru/film/468581/
103,,The Avengers,9,2012-05-01,2012,https://www.kinopoisk.ru/film/263531/
104,,The Terminator,8,2012-06-10,1984,https://www.kinopoisk.ru/film/507/
105,,Terminator 2: Judgment Day,9,2012-06-10,1991,https://www.kinopoisk.ru/film/444/
106,,The Dictator,8,2012-06-13,2012,https://www.kinopoisk.ru/film/518040/
107,,The Amazing Spider-Man,6,2012-07-09,2012,https://www.kinopoisk.ru/film/278217/
108,,The Dark Knight Rises,9,2012-07-28,2012,https://www.kinopoisk.ru/film/437410/
109,,Ted,9,2012-08-02,2012,https://www.kinopoisk.ru/film/507817/
110,,Total Recall,5,2012-08-10,2012,https://www.kinopoisk.ru/film/453374/
111,,The Expendables 2,8,2012-08-25,2012,https://www.kinopoisk.ru/film/571288/
112,,Dredd,8,2012-09-29,2012,https://www.kinopoisk.ru/film/437678/
113,,The Cabin in the Woods,7,2012-09-30,2011,https://www.kinopoisk.ru/film/419209/
114,,Hit and Run,5,2012-09-30,2012,https://www.kinopoisk.ru/film/645029/
115,,Mamma Mia!,4,2012-09-30,2008,https://www.kinopoisk.ru/film/276478/
116,,Project X,8,2012-10-14,2012,https://www.kinopoisk.ru/film/507440/
117,,Taken 2,6,2012-10-20,2012,https://www.kinopoisk.ru/film/453544/
118,,Horrible Bosses,8,2012-10-21,2011,https://www.kinopoisk.ru/film/471628/
119,,21 Jump Street,9,2012-10-26,2012,https://www.kinopoisk.ru/film/413080/
120,,Skyfall,6,2012-10-28,2012,https://www.kinopoisk.ru/film/408871/
121,,Seven Psychopaths,8,2012-10-30,2012,https://www.kinopoisk.ru/film/586584/
122,,Cloud Atlas,10,2012-11-02,2012,https://www.kinopoisk.ru/film/464484/
123,,(500) Days of Summer,6,2012-11-11,2009,https://www.kinopoisk.ru/film/409372/
124,,The Twilight Saga: Breaking Dawn - Part 2,2,2012-11-17,2012,https://www.kinopoisk.ru/film/527662/
125,,Ruby Sparks,9,2012-11-18,2012,https://www.kinopoisk.ru/film/582390/
126,,Vanilla Sky,10,2012-11-26,2001,https://www.kinopoisk.ru/film/870/
127,,Premium Rush,6,2012-11-26,2012,https://www.kinopoisk.ru/film/489415/
128,,"The Irony of Fate, or Enjoy Your Bath!",8,2013-01-01,1975,https://www.kinopoisk.ru/film/77331/
129,,The Irony of Fate 2,7,2013-01-01,2007,https://www.kinopoisk.ru/film/276261/
130,,Tarif Novogodniy,8,2013-01-01,2008,https://www.kinopoisk.ru/film/406141/
131,,"Dzhentlmeny, udachi!",9,2013-01-03,2012,https://www.kinopoisk.ru/film/608706/
132,,Despicable Me,8,2013-01-12,2010,https://www.kinopoisk.ru/film/432724/
133,,Django Unchained,9,2013-01-21,2012,https://www.kinopoisk.ru/film/586397/
134,,Le Fabuleux destin d'Amélie Poulain,9,2013-02-08,2001,https://www.kinopoisk.ru/film/341/
135,,Moonrise Kingdom,8,2013-02-24,2012,https://www.kinopoisk.ru/film/571892/
136,,V for Vendetta,9,2013-03-02,2006,https://www.kinopoisk.ru/film/86208/
137,,Just Go with It,7,2013-03-04,2011,https://www.kinopoisk.ru/film/490323/
138,,Argo,5,2013-03-04,2012,https://www.kinopoisk.ru/film/462487/
139,,50 First Dates,9,2013-04-07,2004,https://www.kinopoisk.ru/film/1794/
140,,Hesher,9,2013-04-13,2010,https://www.kinopoisk.ru/film/455190/
141,,Silver Linings Playbook,9,2013-05-03,2012,https://www.kinopoisk.ru/film/462938/
142,,The Great Gatsby,9,2013-05-20,2013,https://www.kinopoisk.ru/film/463724/
143,,Brüno,8,2013-06-01,2009,https://www.kinopoisk.ru/film/271802/
144,,Lost in Translation,9,2013-06-13,2003,https://www.kinopoisk.ru/film/5930/
145,,The Iron Giant,9,2013-06-13,1999,https://www.kinopoisk.ru/film/538/
146,,It's Kind of a Funny Story,9,2013-06-14,2010,https://www.kinopoisk.ru/film/463210/
147,,Erin Brockovich,9,2013-06-15,2000,https://www.kinopoisk.ru/film/661/
148,,Metro,9,2013-06-19,2012,https://www.kinopoisk.ru/film/521689/
149,,The Curious Case of Benjamin Button,10,2013-06-21,2008,https://www.kinopoisk.ru/film/81555/
150,,Tower Heist,7,2013-06-22,2011,https://www.kinopoisk.ru/film/195223/
151,,No Strings Attached,8,2013-06-24,2010,https://www.kinopoisk.ru/film/502937/
152,,17 Again,8,2013-06-27,2009,https://www.kinopoisk.ru/film/395066/
153,,21 &amp; Over,7,2013-07-02,2013,https://www.kinopoisk.ru/film/566387/
154,,This Is the End,9,2013-07-06,2013,https://www.kinopoisk.ru/film/462514/
155,,Inadequate People,10,2013-08-07,2010,https://www.kinopoisk.ru/film/542581/
156,,Radio Day,7,2013-08-08,2008,https://www.kinopoisk.ru/film/402979/
157,,Election Day,8,2013-08-08,2009,https://www.kinopoisk.ru/film/473820/
158,,Source Code,8,2013-08-10,2011,https://www.kinopoisk.ru/film/409295/
159,,Get Smart,7,2013-08-12,2008,https://www.kinopoisk.ru/film/87178/
160,,The Money Pit,8,2013-08-14,1986,https://www.kinopoisk.ru/film/6883/
161,,Law Abiding Citizen,9,2013-08-20,2009,https://www.kinopoisk.ru/film/406408/
162,,Zakrytye prostranstva,7,2013-08-20,2008,https://www.kinopoisk.ru/film/414915/
163,,The Painted Veil,8,2013-08-20,2006,https://www.kinopoisk.ru/film/102201/
164,,Like Crazy,7,2013-08-20,2011,https://www.kinopoisk.ru/film/571337/
165,,Léon,10,2013-08-20,1994,https://www.kinopoisk.ru/film/389/
166,,The Ugly Truth,8,2013-08-22,2009,https://www.kinopoisk.ru/film/398239/
167,,The Hangover Part III,9,2013-09-02,2013,https://www.kinopoisk.ru/film/600847/
168,,Zack and Miri Make a Porno,6,2013-09-05,2008,https://www.kinopoisk.ru/film/405602/
169,,Knockin' on Heaven's Door,10,2013-09-05,1997,https://www.kinopoisk.ru/film/32898/
170,,Pineapple Express,8,2013-09-06,2008,https://www.kinopoisk.ru/film/279596/
171,,A Few Best Men,8,2013-09-06,2011,https://www.kinopoisk.ru/film/512801/
172,,The 40 Year Old Virgin,8,2013-09-16,2005,https://www.kinopoisk.ru/film/81976/
173,,Fear and Loathing in Las Vegas,4,2013-09-29,1998,https://www.kinopoisk.ru/film/4385/
174,,Harold &amp; Kumar Go to White Castle,9,2013-10-02,2004,https://www.kinopoisk.ru/film/39881/
175,,Nick and Norah's Infinite Playlist,6,2013-10-05,2008,https://www.kinopoisk.ru/film/397236/
176,,Gravity,10,2013-10-10,2013,https://www.kinopoisk.ru/film/468466/
177,,Don Jon,8,2013-10-12,2013,https://www.kinopoisk.ru/film/666731/
178,,Thor: The Dark World,7,2013-11-03,2013,https://www.kinopoisk.ru/film/595938/
179,,Youth in Revolt,8,2013-11-03,2009,https://www.kinopoisk.ru/film/197324/
180,,Machete Kills,7,2013-11-03,2013,https://www.kinopoisk.ru/film/601022/
181,,Easy A,8,2013-11-13,2010,https://www.kinopoisk.ru/film/463046/
182,,The Hunger Games: Catching Fire,8,2013-11-24,2013,https://www.kinopoisk.ru/film/602373/
183,,Snatch,9,2013-12-22,2000,https://www.kinopoisk.ru/film/526/
184,,Shutter Island,8,2013-12-26,2009,https://www.kinopoisk.ru/film/397667/
185,,Runner Runner,7,2014-01-02,2013,https://www.kinopoisk.ru/film/677880/
186,,Now You See Me,9,2014-01-03,2013,https://www.kinopoisk.ru/film/522892/
187,,The Wolf of Wall Street,9,2014-01-03,2013,https://www.kinopoisk.ru/film/462682/
188,,Jobs,6,2014-01-05,2013,https://www.kinopoisk.ru/film/677798/
189,,The Other Guys,8,2014-01-08,2010,https://www.kinopoisk.ru/film/462466/
190,,Grudge Match,9,2014-01-16,2013,https://www.kinopoisk.ru/film/543838/
191,,The Geographer Drank His Globe Away,9,2014-01-24,2013,https://www.kinopoisk.ru/film/653696/
192,,Filth,10,2014-01-25,2013,https://www.kinopoisk.ru/film/467293/
193,,About Time,8,2014-02-18,2013,https://www.kinopoisk.ru/film/662596/
194,,Bad Grandpa,8,2014-02-22,2013,https://www.kinopoisk.ru/film/780451/
195,,Her,6,2014-03-07,2013,https://www.kinopoisk.ru/film/577488/
196,,300: Rise of an Empire,8,2014-03-08,2013,https://www.kinopoisk.ru/film/418839/
197,,American Hustle,8,2014-03-09,2013,https://www.kinopoisk.ru/film/635177/
198,,Captain America: The Winter Soldier,6,2014-04-13,2014,https://www.kinopoisk.ru/film/676266/
199,,The Amazing Spider-Man 2,8,2014-04-18,2014,https://www.kinopoisk.ru/film/602409/
200,,Hannah Arendt,7,2014-04-18,2012,https://www.kinopoisk.ru/film/557690/
201,,How I Met Your Mother,9,2014-04-20,2014,https://www.kinopoisk.ru/series/401522/
202,,Captain America: The First Avenger,8,2014-04-20,2011,https://www.kinopoisk.ru/film/160946/
203,,Iron Man Three,6,2014-04-20,2013,https://www.kinopoisk.ru/film/462762/
204,,Man of Steel,7,2014-05-11,2013,https://www.kinopoisk.ru/film/252667/
205,,Godzilla,10,2014-05-16,2014,https://www.kinopoisk.ru/film/260991/
206,,X-Men: Days of Future Past,7,2014-05-27,2014,https://www.kinopoisk.ru/film/597687/
207,,Paulette,8,2014-05-27,2012,https://www.kinopoisk.ru/film/667025/
208,,Fight Club,8,2014-05-29,1999,https://www.kinopoisk.ru/film/361/
209,,Drive,7,2014-05-29,2011,https://www.kinopoisk.ru/film/276598/
210,,"Crazy, Stupid, Love.",8,2014-05-29,2011,https://www.kinopoisk.ru/film/493992/
211,,Oblivion,9,2014-06-06,2013,https://www.kinopoisk.ru/film/470185/
212,,Edge of Tomorrow,9,2014-06-06,2014,https://www.kinopoisk.ru/film/505851/
213,,The Notebook,8,2014-07-22,2004,https://www.kinopoisk.ru/film/3561/
214,,The Maze Runner,8,2014-09-20,2014,https://www.kinopoisk.ru/film/575613/
215,,Gone Girl,8,2014-10-10,2014,https://www.kinopoisk.ru/film/692861/
216,,Fury,8,2014-10-29,2014,https://www.kinopoisk.ru/film/740644/
217,,Wish I Was Here,7,2014-10-29,2014,https://www.kinopoisk.ru/film/760376/
218,,Interstellar,10,2014-11-08,2014,https://www.kinopoisk.ru/film/258687/
219,,Good Bye Lenin!,9,2014-11-10,2003,https://www.kinopoisk.ru/film/1549/
220,,The Hunger Games: Mockingjay - Part 1,6,2014-11-22,2014,https://www.kinopoisk.ru/film/661911/
221,,Der bewegte Mann,7,2014-11-26,1994,https://www.kinopoisk.ru/film/32902/
222,,Seventh Son,6,2015-01-06,2014,https://www.kinopoisk.ru/film/408396/
223,,Neighbors,6,2015-01-15,2014,https://www.kinopoisk.ru/film/602677/
224,,Exodus: Gods and Kings,5,2015-01-15,2014,https://www.kinopoisk.ru/film/484611/
225,,Leviathan,10,2015-01-18,2014,https://www.kinopoisk.ru/film/705356/
226,,The Wizard of Oz,8,2015-01-25,1939,https://www.kinopoisk.ru/film/379/
227,,Citizen Kane,8,2015-02-01,1941,https://www.kinopoisk.ru/film/331/
228,,The Third Man,8,2015-02-10,1949,https://www.kinopoisk.ru/film/359/
229,,Birdman or (The Unexpected Virtue of Ignorance),9,2015-02-14,2014,https://www.kinopoisk.ru/film/722827/
230,,The Birds,7,2015-02-24,1963,https://www.kinopoisk.ru/film/559/
231,,Kingsman: The Secret Service,8,2015-03-03,2015,https://www.kinopoisk.ru/film/749540/
232,,The Grand Budapest Hotel,8,2015-03-05,2014,https://www.kinopoisk.ru/film/683999/
233,,South Park,8,2015-03-06,1997,https://www.kinopoisk.ru/series/161252/
234,,The Interview,8,2015-03-07,2014,https://www.kinopoisk.ru/film/745743/
235,,North by Northwest,7,2015-03-17,1959,https://www.kinopoisk.ru/film/343/
236,,Rocket Singh: Salesman of the Year,8,2015-03-18,2009,https://www.kinopoisk.ru/film/489623/
237,,The Butterfly Effect,9,2015-03-24,2003,https://www.kinopoisk.ru/film/5167/
238,,Groundhog Day,9,2015-03-25,1993,https://www.kinopoisk.ru/film/527/
239,,Solaris,8,2015-03-26,1972,https://www.kinopoisk.ru/film/43911/
240,,Peeping Tom,8,2015-04-11,1960,https://www.kinopoisk.ru/film/8434/
241,,The Return,8,2015-04-13,2003,https://www.kinopoisk.ru/film/47040/
242,,Sherlock,9,2015-04-13,2017,https://www.kinopoisk.ru/series/502838/
243,,Policeiskye budni,7,2015-04-13,2012,https://www.kinopoisk.ru/series/672938/
244,,Friends,9,2015-04-13,2004,https://www.kinopoisk.ru/series/77044/
245,,Majki,7,2015-04-15,2010,https://www.kinopoisk.ru/film/504174/
246,,Thelma &amp; Louise,8,2015-04-20,1991,https://www.kinopoisk.ru/film/2614/
247,,Elena,7,2015-05-01,2011,https://www.kinopoisk.ru/film/501958/
248,,The Banishment,6,2015-05-01,2007,https://www.kinopoisk.ru/film/225011/
249,,Bloodrop 3D,5,2015-05-02,2011,""
250,,Apocrypha,7,2015-05-02,2009,""
251,,Mad Max: Fury Road,8,2015-05-17,2015,https://www.kinopoisk.ru/film/453406/
252,,Dallas Buyers Club,9,2015-05-17,2013,https://www.kinopoisk.ru/film/260162/
253,,Samba,7,2015-06-01,2014,https://www.kinopoisk.ru/film/817580/
254,,Eternal Sunshine of the Spotless Mind,9,2015-06-02,2004,https://www.kinopoisk.ru/film/5492/
255,,Brat,7,2015-06-16,1997,https://www.kinopoisk.ru/film/41519/
256,,Brat 2,9,2015-06-18,2000,https://www.kinopoisk.ru/film/41520/
257,,Dr. Horrible's Sing-Along Blog,10,2015-08-11,2008,""
258,,Jupiter Ascending,8,2015-09-08,2015,https://www.kinopoisk.ru/film/505966/
259,,Big Hero 6,7,2015-09-08,2014,https://www.kinopoisk.ru/film/693126/
260,,"Was tun, wenn's brennt?",7,2015-10-04,2001,https://www.kinopoisk.ru/film/32895/
261,,Star Wars: Episode VII - The Force Awakens,9,2015-12-22,2015,https://www.kinopoisk.ru/film/714888/
262,,Star Wars,8,2015-12-30,1977,https://www.kinopoisk.ru/film/333/
263,,Inside Out,8,2016-01-02,2015,https://www.kinopoisk.ru/film/645118/
264,,Fantastic Four,6,2016-01-06,2015,https://www.kinopoisk.ru/film/471642/
265,,The F Word,6,2016-01-13,2013,https://www.kinopoisk.ru/film/470286/
266,,The Hateful Eight,7,2016-01-16,2015,https://www.kinopoisk.ru/film/819101/
267,,The Last Witch Hunter,6,2016-01-18,2015,https://www.kinopoisk.ru/film/506066/
268,,Creed,7,2016-01-19,2015,https://www.kinopoisk.ru/film/782932/
269,,Black Mass,8,2016-01-20,2015,https://www.kinopoisk.ru/film/736205/
270,,Frank,8,2016-01-22,2013,https://www.kinopoisk.ru/film/506058/
271,,The Secret Life of Walter Mitty,9,2016-01-23,2013,https://www.kinopoisk.ru/film/6034/
272,,Little Miss Sunshine,8,2016-01-24,2006,https://www.kinopoisk.ru/film/164089/
273,,Flightplan,9,2016-01-25,2005,https://www.kinopoisk.ru/film/81873/
274,,EuroTrip,8,2016-02-06,2004,https://www.kinopoisk.ru/film/5090/
275,,Deadpool,8,2016-02-12,2016,https://www.kinopoisk.ru/film/462360/
276,,The Revenant,8,2016-03-02,2015,https://www.kinopoisk.ru/film/522941/
277,,Catch Me If You Can,8,2016-03-11,2002,https://www.kinopoisk.ru/film/324/
278,,Batman v Superman: Dawn of Justice,6,2016-03-26,2016,https://www.kinopoisk.ru/film/770631/
279,,Captain America: Civil War,8,2016-05-19,2016,https://www.kinopoisk.ru/film/822708/
280,,X-Men: Apocalypse,6,2016-05-24,2016,https://www.kinopoisk.ru/film/814016/
281,,Alice Through the Looking Glass,8,2016-06-02,2016,https://www.kinopoisk.ru/film/723988/
282,,The Big Short,7,2016-06-02,2015,https://www.kinopoisk.ru/film/501333/
283,,Pulp Fiction,8,2016-06-02,1994,https://www.kinopoisk.ru/film/342/
284,,X-Men: First Class,9,2016-06-03,2011,https://www.kinopoisk.ru/film/462358/
285,,22 Jump Street,7,2016-06-20,2014,https://www.kinopoisk.ru/film/672899/
286,,What Happens in Vegas,7,2016-06-20,2008,https://www.kinopoisk.ru/film/317889/
287,,Back to the Future,9,2016-06-21,1985,https://www.kinopoisk.ru/film/476/
288,,Back to the Future Part II,8,2016-06-22,1989,https://www.kinopoisk.ru/film/5502/
289,,End of Watch,6,2016-08-02,2012,https://www.kinopoisk.ru/film/584405/
